school,season,url,status,reason
Muskingum University,2022,https://www.fightingmuskies.com/sports/bsb/2021-22/teams/muskingum,unresolved,no working URL pattern found on live site
Muskingum University,2023,https://www.fightingmuskies.com/sports/bsb/2022-23/teams/muskingum,unresolved,no working URL pattern found on live site
Muskingum University,2024,https://www.fightingmuskies.com/sports/bsb/2023-24/teams/muskingum,unresolved,no working URL pattern found on live site
Muskingum University,2025,https://www.fightingmuskies.com/sports/bsb/2024-25/teams/muskingum,unresolved,no working URL pattern found on live site
Muskingum University,2026,https://www.fightingmuskies.com/sports/bsb/2025-26/teams/muskingum,unresolved,no working URL pattern found on live site
Nazareth University,2022,https://nazathletics.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Nazareth University,2023,https://nazathletics.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Nazareth University,2024,https://nazathletics.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Nazareth University,2025,https://nazathletics.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Nazareth University,2026,https://nazathletics.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
North Carolina Wesleyan University,2022,https://ncwcbishops.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
North Carolina Wesleyan University,2023,https://ncwcbishops.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
North Carolina Wesleyan University,2024,https://ncwcbishops.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
North Carolina Wesleyan University,2025,https://ncwcbishops.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
North Carolina Wesleyan University,2026,https://ncwcbishops.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Ohio Northern University,2022,https://www.onusports.com/sports/bsb/2021-22/teams/ohionorthern,unresolved,no working URL pattern found on live site
Ohio Northern University,2023,https://www.onusports.com/sports/bsb/2022-23/teams/ohionorthern,unresolved,no working URL pattern found on live site
Ohio Northern University,2024,https://www.onusports.com/sports/bsb/2023-24/teams/ohionorthern,unresolved,no working URL pattern found on live site
Ohio Northern University,2025,https://www.onusports.com/sports/bsb/2024-25/teams/ohionorthern,unresolved,no working URL pattern found on live site
Ohio Northern University,2026,https://www.onusports.com/sports/bsb/2025-26/teams/ohionorthern,unresolved,no working URL pattern found on live site
Penn State Altoona,2022,https://www.psaltoonalions.com/sports/bsb/2021-22/teams/pennstaltoona,unresolved,no working URL pattern found on live site
Penn State Altoona,2023,https://www.psaltoonalions.com/sports/bsb/2022-23/teams/pennstaltoona,unresolved,no working URL pattern found on live site
Penn State Altoona,2024,https://www.psaltoonalions.com/sports/bsb/2023-24/teams/pennstaltoona,unresolved,no working URL pattern found on live site
Penn State Altoona,2025,https://www.psaltoonalions.com/sports/bsb/2024-25/teams/pennstaltoona,unresolved,no working URL pattern found on live site
Penn State Altoona,2026,https://www.psaltoonalions.com/sports/bsb/2025-26/teams/pennstaltoona,unresolved,no working URL pattern found on live site
Penn State Behrend,2022,https://www.psblions.com/sports/bsb/2021-22/teams/pennstbehrend,unresolved,no working URL pattern found on live site
Penn State Behrend,2023,https://www.psblions.com/sports/bsb/2022-23/teams/pennstbehrend,unresolved,no working URL pattern found on live site
Penn State Behrend,2024,https://www.psblions.com/sports/bsb/2023-24/teams/pennstbehrend,unresolved,no working URL pattern found on live site
Penn State Behrend,2025,https://www.psblions.com/sports/bsb/2024-25/teams/pennstbehrend,unresolved,no working URL pattern found on live site
Penn State Behrend,2026,https://www.psblions.com/sports/bsb/2025-26/teams/pennstbehrend,unresolved,no working URL pattern found on live site
Penn State Brandywine,2022,https://www.psubrandywineathletics.com/sports/bsb/2021-22/teams/pennstbrandywine,unresolved,no working URL pattern found on live site
Penn State Brandywine,2023,https://www.psubrandywineathletics.com/sports/bsb/2022-23/teams/pennstbrandywine,unresolved,no working URL pattern found on live site
Penn State Brandywine,2024,https://www.psubrandywineathletics.com/sports/bsb/2023-24/teams/pennstbrandywine,unresolved,no working URL pattern found on live site
Penn State Brandywine,2025,https://www.psubrandywineathletics.com/sports/bsb/2024-25/teams/pennstbrandywine,unresolved,no working URL pattern found on live site
Penn State Brandywine,2026,https://www.psubrandywineathletics.com/sports/bsb/2025-26/teams/pennstbrandywine,unresolved,no working URL pattern found on live site
Penn State Harrisburg,2022,https://psuharrisburgsports.com/sports/baseball/stats/2022,http_or_parse,pattern found but 2022 page missing/empty: https://psuharrisburgsports.com/sports/baseball/stats/2022
Pfeiffer University,2022,https://gopfeifferfalcons.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Pfeiffer University,2023,https://gopfeifferfalcons.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Pfeiffer University,2024,https://gopfeifferfalcons.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Pfeiffer University,2025,https://gopfeifferfalcons.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Pfeiffer University,2026,https://gopfeifferfalcons.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Principia College,2022,https://principiaathletics.com/sports/baseball/stats/2022,http_or_parse,pattern found but 2022 page missing/empty: https://principiaathletics.com/sports/baseball/stats/2022
Randolph College,2022,https://randolphathletics.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
